,Field Name,Year,gwp,Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Transport Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Emissions Intensity (kgCO2eq/boe),Midstream Emissions Intensity (kgCO2eq/boe),Transport Emissions Intensity (kgCO2eq/boe),Downstream Emissions Intensity (kgCO2eq/boe)
7830,Tengiz,2016,100,0.5444262855432828,0.0034967111089083,0.0021103671379635,0.0189820140210804,41.441529064065335,36.90075903002592,12.79756084815164,363.5649755198263
7831,Tengiz,2017,20,0.5388512364442668,0.0036180420542157,0.0021133321124326,0.0190699596878695,73.55984898521932,37.37325637659443,14.00872649039036,364.7687151508578
7832,Tengiz,2017,100,0.5388512364442668,0.0035115972401529,0.0021133321124326,0.0190067242906549,40.94260272408281,37.00134960308678,12.810278067976023,363.76495782497415
7833,Tengiz,2018,20,0.5358645368674626,0.0034596764207081,0.0020558895014174,0.0187144899026477,75.71040473277742,35.73812452888252,13.75465586954326,361.2285746453138
7834,Tengiz,2018,100,0.5358645368674626,0.0033578908118618,0.0020558895014174,0.0186533189143598,43.2343022248047,35.38149168993151,12.56434149540889,360.2427554897937
7835,Tengiz,2019,20,0.5294463402020936,0.0034739315225632,0.002059469142009,0.0187406654567478,74.75482504533807,35.8506274611761,13.770514973298996,361.4604799073416
7836,Tengiz,2019,100,0.5294463402020936,0.0033717265206741,0.002059469142009,0.0186793034783265,42.66875676190416,35.49287934549969,12.579688667052247,360.4733667610196
7837,Tengiz,2020,20,0.5316947957386823,0.0035581445451957,0.0021044402149636,0.0189824855772788,73.05787399899144,37.03515370709877,13.969309527275726,364.1291621589981
7838,Tengiz,2020,100,0.5316947957386823,0.0034534619492373,0.0021044402149636,0.0189200725462876,40.86703627083551,36.66692528217224,12.772137102677132,363.129601953762
7839,Tengiz,2021,20,0.5366422970702408,0.0037349211867936,0.0021601199006989,0.0193483913389776,71.13790703426278,38.67829984879252,14.21614236196831,367.6208925980313
7840,Tengiz,2021,100,0.5366422970702408,0.0036250377234977,0.0021601199006989,0.0192836465373942,38.69045778877229,38.294384304061445,13.010977953245837,366.603010374205
7841,Tengiz,2022,20,0.5391382860617484,0.0038975643247729,0.0021874333814386,0.0195975090614059,70.21633532435992,39.66542271966628,14.337136818742556,369.530338585077
7842,Tengiz,2022,100,0.5391382860617484,0.0037828958096944,0.0021874333814386,0.0195305415365918,37.63644187373013,39.27100230197652,13.128068985629415,368.5004209911207
8249,Uzen,2015,20,1.5526801657928777,0.0082141503347822,0.0027233054648209,0.0208991683473235,164.6052635801453,28.223676775900667,16.89088784539728,435.9312250071574
8250,Uzen,2015,100,1.5526801657928777,0.0079725287716392,0.0027233054648209,0.0208498702052686,76.88186194390825,27.65683862598112,15.56469259169441,434.81980352131313
8251,Uzen,2016,20,1.4342483341479833,0.0082065516444831,0.0027223864186383,0.020890771097846,152.10063279391505,28.197567809034823,16.885216066543737,435.76288893477545
8252,Uzen,2016,100,1.4342483341479833,0.0079651535989716,0.0027223864186383,0.0208415185601809,70.82304302450133,27.631254025893984,15.55946250280828,434.6518961743424
8253,Uzen,2017,20,1.3740082810611984,0.0082026703129711,0.0027219169794628,0.0208864818706598,145.73517895365313,28.18423162189553,16.88231898123997,435.67690463003015
8254,Uzen,2017,100,1.3740082810611984,0.0079613864379275,0.0027219169794628,0.02083725262724,67.73665603592455,27.61818567981968,15.556791028119186,434.566130858052
8255,Uzen,2018,20,1.32032727360486,0.0081992218311408,0.0027214998925785,0.0208826709820582,140.06662015842363,28.17238269868624,16.879744981570013,435.6005093745129
8256,Uzen,2018,100,1.32032727360486,0.0079580393941689,0.0027214998925785,0.0208334624350878,64.98986819876019,27.60657472779195,15.554417478759389,434.48993016919457
8257,Uzen,2019,20,1.267378608096794,0.0081958298532599,0.0027210896397322,0.0208789225355012,134.4767130085863,28.160727922058207,16.877213157313566,435.5253658679877
8258,Uzen,2019,100,1.267378608096794,0.00795474719228,0.0027210896397322,0.0208297343458655,62.28163028948023,27.59515402314802,15.55208282040137,434.414978041322
8259,Uzen,2020,20,1.25188570526678,0.0082018755079299,0.0027217701035519,0.0208852892389995,136.1064686337479,28.18146928233137,16.881719047881404,435.6504241742552
8260,Uzen,2020,100,1.25188570526678,0.0079606150123022,0.0027217701035519,0.0208360649692874,64.76071038078052,27.615478718648543,15.556202771597476,434.5397123805324
8261,Uzen,2021,20,1.2518724749884602,0.0082018755079299,0.0027217701035519,0.0208852892389995,136.10538110908138,28.181469282331364,16.8817190478814,435.6504241742552
8262,Uzen,2021,100,1.2518724749884602,0.0079606150123022,0.0027217701035519,0.0208360649692874,64.7603227346682,27.615478718648543,15.556202771597476,434.5397123805324
8263,Uzen,2022,20,1.2522386693737024,0.0082018755079299,0.0027217701035519,0.0208852892389995,136.13773790318544,28.18146928233136,16.881719047881404,435.6504241742553
8264,Uzen,2022,100,1.2522386693737024,0.0079606150123022,0.0027217701035519,0.0208360649692874,64.7732782231263,27.61547871864854,15.556202771597471,434.5397123805323
8879,Zhanazhol,2015,20,1.0421243320346305,0.0027599798651154,0.0014626468516757,0.0150514112920665,113.39522410475205,26.66389343510239,11.558299706015733,356.0975443765924
8880,Zhanazhol,2015,100,1.0421243320346305,0.0026787797189709,0.0014626468516757,0.0150061889702581,53.82976873808432,26.39867902677895,10.370923952530305,355.30281009567403
8881,Zhanazhol,2016,20,0.8571107691381976,0.0021531479661722,0.3652628703434223,0.2536361452457707,88.93170930543938,22.45489611412316,110.8781610226512,370.9466586803328
8882,Zhanazhol,2016,100,0.8571107691381976,0.0020898011527647,0.3652628703434223,0.2536003710545519,40.108283468858026,22.234564711298894,55.75647917517777,357.62291868662555
8883,Zhanazhol,2017,20,0.8797693136877898,0.0021314913246729,0.1054899062318658,0.0823593517569444,95.39263632249462,22.297202212134074,22.96486780035317,355.97268670108
8884,Zhanazhol,2017,100,0.8797693136877898,0.0020687816617305,0.1054899062318658,0.0823239169686511,45.037652003088965,22.0785333383292,15.515838756949602,351.6407525790113
8885,Zhanazhol,2018,20,0.8348346055646949,0.0018468040333298,0.400818560216773,0.2762909998134222,90.09280473977472,19.36582742478365,56.70711500041633,367.52945875186657
8886,Zhanazhol,2018,100,0.8348346055646949,0.0017924700291937,0.400818560216773,0.2762602820783211,42.40706443931639,19.175982817944423,31.5435592088959,353.01492117056125
8887,Zhanazhol,2019,20,0.8251698350023838,0.001904541224075,0.3811474761273825,0.2636083432716908,89.67362912878656,20.446655574744007,54.65610729579622,367.9337059225456
8888,Zhanazhol,2019,100,0.8251698350023838,0.0018485085596024,0.3811474761273825,0.2635765228845396,42.31347107891283,20.247014869172656,30.67386964891464,354.0849694126107
8889,Zhanazhol,2020,20,0.8129264168430411,0.0018069215578637,0.3979927886745936,0.2744242452077284,88.11376228054455,19.40045798077096,56.415396659635405,367.44457130897786
8890,Zhanazhol,2020,100,0.8129264168430411,0.0017537609183878,0.3979927886745936,0.2743940552663034,41.5201690467329,19.21103531326028,31.41958233404264,353.0276483353623
8891,Zhanazhol,2021,20,0.8177752656188935,0.0018470200661972,0.3910564726544289,0.269970538988247,88.93282273322126,19.83098548354508,55.692998547300455,367.6456533574542
8892,Zhanazhol,2021,100,0.8177752656188935,0.0017926797062538,0.3910564726544289,0.2699396790832519,41.97689307142417,19.637359221042303,31.11341927640607,353.46269396297555
8893,Zhanazhol,2022,20,0.8147659612071517,0.0018696422919714,0.3953252595055225,0.2727548384120473,88.65000800317074,19.67912756927423,56.13834015241966,367.64444580245936
8894,Zhanazhol,2022,100,0.8147659612071517,0.0018146363735352,0.3953252595055225,0.2727237187095186,41.85299835242863,19.48633577013395,31.30217811158516,353.31560063614137
